OUT_TIME 0.01
# ext_x ext_y center_x center_y angle theta1 theta2 moment3_norm moment3_angle ext_potential
0.21289 -0.368736 -0.000173802 0.00016307 0.525221 42.8213 43.0478 2.1289 -3.68737 -190.848 
0.184063 -0.318806 -0.000175416 0.000165855 0.525227 42.8216 43.0478 1.84063 -3.18806 -164.731 
0.154509 -0.267617 -0.00017736 0.000169208 0.52523 42.8218 43.0477 1.54509 -2.67618 -137.956 
0.124345 -0.215372 -0.000179693 0.000173234 0.525233 42.822 43.0476 1.24346 -2.15373 -110.629 
0.093691 -0.162278 -0.000182496 0.000178072 0.525235 42.8222 43.0474 0.936913 -1.62278 -82.8566 
0.0626669 -0.108542 -0.000185878 0.000183908 0.525235 42.8225 43.0472 0.626672 -1.08543 -54.7497 
0.0313956 -0.0543787 -0.000189983 0.00019099 0.525235 42.8228 43.0469 0.313959 -0.543793 -26.4187 
3.14159e-07 -5.4414e-07 -0.000195 0.000199647 0.525234 42.8232 43.0465 6.28319e-06 -1.08828e-05 2.02452 
-0.0313949 0.0543776 -0.000201185 0.000210319 0.525233 42.8236 43.046 -0.313946 0.543771 30.4676 
-0.0626663 0.108541 -0.000208881 0.0002236 0.52523 42.8241 43.0454 -0.62666 1.08541 58.7982 
-0.0936903 0.162276 -0.000218558 0.000240297 0.525227 42.8248 43.0446 -0.9369 1.62276 86.9045 
-0.124345 0.215371 -0.000230858 0.000261522 0.525222 42.8256 43.0436 -1.24344 2.15371 114.675 
-0.154508 0.267616 -0.000246676 0.000288817 0.525216 42.8267 43.0422 -1.54508 2.67616 142.001 
-0.184062 0.318805 -0.000267264 0.000324345 0.525207 42.8281 43.0405 -1.84062 3.18804 168.772 
-0.212889 0.368735 -0.0002944 0.000371172 0.525195 42.8299 43.0383 -2.12889 3.68735 194.884 
-0.240877 0.41721 -0.000330626 0.000433688 0.525179 42.8323 43.0353 -2.40876 4.1721 220.23 
-0.267913 0.464039 -0.000379618 0.000518238 0.525157 42.8356 43.0312 -2.67913 4.64039 244.707 
-0.293892 0.509037 -0.000446742 0.000634087 0.525127 42.84 43.0257 -2.93892 5.09036 268.211 
-0.318712 0.552025 -0.0005399 0.000794881 0.525085 42.8463 43.0179 -3.18712 5.52025 290.637 
-0.342273 0.592835 -0.000670829 0.0010209 0.525026 42.855 43.007 -3.42273 5.92834 311.866 
-0.364484 0.631305 -0.00085709 0.00134248 0.524942 42.8674 42.9915 -3.64484 6.31305 331.755 
-0.385256 0.667284 -0.00112512 0.00180536 0.52482 42.8853 42.9692 -3.85256 6.67283 350.098 
-0.404508 0.700629 -0.00151491 0.00247872 0.524644 42.9112 42.9368 -4.04508 7.00629 366.542 
-0.422164 0.731209 -0.00208695 0.00346743 0.524386 42.9494 42.8892 -4.22164 7.31209 380.408 
-0.438153 0.758904 -0.00293234 0.00492967 0.524008 43.0059 42.8189 -4.38153 7.58903 390.279 
-0.452413 0.783603 -0.00418586 0.00710017 0.523455 43.0899 42.7147 -4.52413 7.83603 393.116 
-0.464888 0.80521 -0.00603807 0.0103123 0.522666 43.2146 42.5611 -4.64888 8.0521 382.524 
-0.475528 0.823639 -0.00872995 0.0149907 0.521605 43.3979 42.3391 -4.75528 8.23639 346.163 
-0.484292 0.838817 -0.0124847 0.021534 0.520366 43.6584 42.0333 -4.84291 8.38817 265.134 
-0.491144 0.850686 -0.0173136 0.029972 0.519329 44.0044 41.6494 -4.91144 8.50686 125.159 
-0.496057 0.859196 -0.0227647 0.0395121 0.519067 44.4121 41.2322 -4.96057 8.59196 -55.822 
-0.499013 0.864316 -0.0279917 0.0486552 0.519767 44.8202 40.8497 -4.99013 8.64316 -223.604 
-0.5 0.866025 -0.0322858 0.0561493 0.52098 45.1666 40.5476 -5 8.66025 -337.333 
-0.499013 0.864317 -0.0354394 0.0616373 0.522176 45.426 40.3319 -4.99013 8.64317 -397.864 
-0.496057 0.859197 -0.0376089 0.0654033 0.523121 45.6064 40.186 -4.96057 8.59197 -424.445 
-0.491144 0.850686 -0.0390535 0.0679062 0.523799 45.7273 40.0899 -4.91144 8.50686 -433.03 
-0.484292 0.838818 -0.0400017 0.0695469 0.524266 45.8069 40.0273 -4.84292 8.38818 -432.466 
-0.475528 0.823639 -0.0406212 0.0706178 0.524582 45.8592 39.9866 -4.75528 8.23639 -426.946 
-0.464888 0.80521 -0.041026 0.0713172 0.524795 45.8934 39.9602 -4.64888 8.0521 -418.345 
